"","구","rank","rank_2","weight","lat","lon"
"1","강북구",20.625,25,100,37.6469954,127.0147158
"2","구로구",19.0625,24,96,37.4954856,126.858121
"3","노원구",18.75,23,92,37.655264,127.0771201
"4","도봉구",18.5,21.5,86,37.6658609,127.0317674
"5","영등포구",18.5,21.5,86,37.520641,126.9139242
"6","은평구",17.9375,20,80,37.6176125,126.9227004
"7","중랑구",15.5,19,76,37.5953795,127.0939669
"8","용산구",15.3125,18,72,37.5311008,126.9810742
"9","동대문구",14.8125,17,68,37.5838012,127.0507003
"10","성북구",14.5,16,64,37.606991,127.0232185
"11","종로구",13.75,15,60,37.5990998,126.9861493
"12","중구",13.625,14,56,37.5579452,126.9941904
"13","금천구",13.25,13,52,37.4600969,126.9001546
"14","관악구",13.1875,12,48,37.4653993,126.9438071
"15","동작구",13,11,44,37.4965037,126.9443073
"16","강동구",11.5,10,40,37.5492077,127.1464824
"17","양천구",11,9,36,37.5270616,126.8561534
"18","광진구",10.625,8,32,37.5481445,127.0857528
"19","성동구",9.8125,7,28,37.5506753,127.0409622
"20","서대문구",9.0625,6,24,37.5820369,126.9356665
"21","마포구",9,4.5,18,37.5622906,126.9087803
"22","송파구",9,4.5,18,37.5048534,127.1144822
"23","강서구",8.375,3,12,37.5657617,126.8226561
"24","서초구",4.5625,2,8,37.4769528,127.0378103
"25","강남구",1.75,1,4,37.4959854,127.0664091
